frame,image load Time,image convertion time,kernel calculation time,image display time 
438,0.110700,0.018600,2.289500,13.567000
439,0.091300,0.019700,2.333600,12.674000
440,0.100600,0.025300,2.324000,13.324200
441,0.088500,0.023800,2.385400,12.966600
442,0.104600,0.024000,2.314300,13.182300
443,0.116500,0.021700,2.276000,13.577300
444,0.156500,0.025600,2.346100,13.505400
445,0.149900,0.028100,2.478700,12.419100
446,0.094600,0.023400,2.318300,13.314100
447,0.084600,0.023000,2.487200,12.651600
448,0.095700,0.024100,2.323200,13.440000
449,0.102600,0.025300,2.358200,13.518200
450,0.110800,0.021300,2.336200,13.551000
451,0.112300,0.025300,2.365300,13.501800
452,0.133800,0.028100,2.410100,13.450700
453,0.202600,0.030500,2.827400,12.936000
454,0.142200,0.027100,2.406500,13.437100
455,0.110400,0.022000,2.307000,13.563800
456,0.127500,0.026400,2.461100,13.289600
457,0.100100,0.021300,2.360200,12.514900
458,0.111700,0.024500,2.333300,13.399900
459,0.089500,0.019300,2.245200,13.659700
460,0.181300,0.033900,2.440600,13.355000
461,0.120100,0.021900,2.300500,13.627700
462,0.129900,0.028800,2.402200,12.442000
463,0.099400,0.024500,2.377900,13.488600
464,0.128400,0.023900,2.329400,13.527700
465,0.100700,0.019200,2.249300,12.755700
466,0.178900,0.043500,2.634500,12.298700
467,0.105000,0.024900,2.516700,13.051700
468,0.095000,0.024000,2.326900,12.683600
469,0.122500,0.022100,2.403500,13.314900
470,0.104700,0.024900,2.424300,13.451000
471,0.108800,0.025600,2.445100,13.410300
472,0.090400,0.023300,2.416100,13.478700
473,0.098800,0.024400,2.371700,12.789200
474,0.119000,0.019700,2.498900,13.069500
475,0.102600,0.025200,2.373900,13.504700
476,0.097900,0.019100,2.249600,13.624600
477,0.106100,0.020500,2.377200,12.488800
478,0.117700,0.027300,2.350400,13.504800
479,0.091200,0.024200,2.365100,13.507900
480,0.093300,0.023700,2.350100,13.552500
481,0.117200,0.026800,2.354900,12.607500
482,0.108400,0.024800,2.328900,13.410800
483,0.091800,0.023200,2.387700,13.495000
484,0.157300,0.025800,2.331300,12.476700
485,0.117600,0.025200,2.518400,12.348800
486,0.102300,0.024700,2.466500,13.432500
487,0.109000,0.024800,2.328200,13.489500
488,0.103100,0.024400,2.337100,13.539900
489,0.091100,0.023900,2.456400,13.418200
490,0.102900,0.024600,2.349900,13.527200
491,0.108000,0.023600,2.326600,13.541900
492,0.107600,0.020600,2.231200,13.634200
493,0.105600,0.024500,2.362900,13.498700
494,0.153200,0.026600,2.343000,13.494200
495,0.102700,0.021100,2.378900,13.475700
496,0.099100,0.024500,2.356400,13.514100
497,0.105000,0.024100,2.354400,13.520700
498,0.127100,0.024500,2.434900,12.708900
499,0.085800,0.018800,2.461300,13.141100
500,0.139400,0.023200,2.264000,13.564600
501,0.133100,0.023400,2.433100,13.400800
502,0.100200,0.024800,2.326800,13.550600
503,0.127400,0.024800,2.362000,13.475700
504,0.109300,0.024000,2.384500,13.611000
505,0.099800,0.024100,2.320600,13.157500
506,0.089100,0.024100,2.425000,12.727800
507,0.117000,0.026400,2.349400,12.632100
508,0.131000,0.030700,2.550700,13.161300
509,0.128300,0.025500,2.442500,13.421800
510,0.096500,0.019000,2.251000,13.607800
511,0.109400,0.026000,2.431600,13.423400
512,0.105100,0.020000,2.256500,13.629700
513,0.108400,0.025000,2.356600,13.485000
514,0.107500,0.023800,2.484400,13.516000
515,0.107100,0.024500,2.322500,13.414300
516,0.122700,0.025100,2.362800,13.492900
517,0.166900,0.020900,2.357900,13.441400
518,0.121300,0.024900,2.354800,13.506600
519,0.112800,0.020800,2.258800,13.597200
520,0.104900,0.021300,2.263900,13.627900
521,0.120300,0.025700,2.318400,13.625700
522,0.090500,0.018800,2.287700,13.479100
523,0.132500,0.026800,2.320800,13.520400
524,0.115000,0.025300,2.357000,13.504400
525,0.127000,0.025900,2.358400,13.480400
526,0.122300,0.024400,2.345700,12.804400
527,0.088500,0.024200,2.620100,12.962100
528,0.105400,0.024400,2.335600,12.834500
529,0.117700,0.024300,2.268600,13.282700
530,0.109600,0.024200,2.370000,13.497700
531,0.095600,0.024100,2.369900,12.627700
532,0.118100,0.026400,2.356600,13.519300
533,0.125100,0.026100,2.309600,13.385200
534,0.138600,0.021400,2.287100,12.549900
535,0.092600,0.024600,2.393700,12.483200
536,0.096800,0.023900,2.448800,13.431700
537,0.102900,0.024500,2.378700,12.613300
538,0.130000,0.024600,2.300400,13.423300
539,0.102200,0.024600,2.363100,13.498000
540,0.109600,0.025100,2.343500,13.539200
541,0.125100,0.025200,2.538900,13.313800
542,0.113200,0.021200,2.299900,12.843700
543,0.129500,0.026400,2.404000,13.129200
544,0.127500,0.023600,2.564400,13.288200
545,0.120500,0.025300,2.304700,13.554000
546,0.105400,0.020800,2.261700,13.600500
547,0.117800,0.026800,2.357700,13.608600
548,0.095500,0.024100,2.420700,13.477000
549,0.112400,0.021800,2.251000,13.466800
550,0.124000,0.026000,2.506400,13.356800
551,0.162500,0.027200,2.365800,13.423200
552,0.101100,0.019000,2.236100,13.772000
553,0.107600,0.025600,2.358500,13.374900
554,0.110900,0.024700,2.466100,13.398000
555,0.132300,0.019400,2.257200,13.629000
556,0.104900,0.025200,2.346500,13.604500
557,0.097700,0.023300,2.277000,13.614500
558,0.151100,0.028700,2.274800,13.395800
559,0.092500,0.024000,2.472600,13.420100
560,0.106600,0.025400,2.363800,13.488900
561,0.124700,0.024900,2.361500,13.406000
562,0.111700,0.024900,2.362700,13.587200
563,0.114700,0.026100,2.354900,13.486900
564,0.126100,0.024600,2.336500,13.531500
565,0.179100,0.029900,2.532300,13.244900
566,0.115300,0.025600,2.457700,13.390200
567,0.097200,0.024300,2.353400,12.643000
568,0.109400,0.024200,2.334700,13.413100
569,0.129900,0.024100,2.363000,13.477100
570,0.112100,0.025000,2.355200,13.517200
571,0.115400,0.024600,2.434000,13.407000
572,0.122300,0.025300,2.346000,12.638100
573,0.104600,0.021000,2.330200,13.407200
574,0.142900,0.026700,2.338800,13.610500
575,0.084000,0.024100,2.345500,13.549900
576,0.100000,0.019800,2.229400,13.528200
577,0.112300,0.025100,2.469600,13.372900
578,0.119300,0.024200,2.457600,13.401900
579,0.119000,0.023100,2.331000,13.523800
580,0.104400,0.019500,2.270600,12.741600
581,0.167900,0.029000,2.296100,12.375700
582,0.143100,0.022900,2.413900,12.316400
583,0.111800,0.024600,2.393700,12.552700
584,0.138900,0.025800,2.319800,12.515700
585,0.109500,0.024700,2.386800,12.470400
586,0.092800,0.019900,2.238600,12.649500
587,0.104800,0.025000,2.429600,12.581100
588,0.097600,0.024200,2.315300,13.417300
589,0.092800,0.024100,2.351400,13.532800
590,0.121200,0.019200,2.273300,13.581300
591,0.105200,0.024700,2.466500,13.393700
592,0.108300,0.023900,2.356000,13.522900
593,0.115000,0.024700,2.444600,13.401700
594,0.108100,0.024300,2.349200,13.520300
595,0.100300,0.025500,2.360700,13.505200
596,0.089000,0.022900,2.448200,13.466600
597,0.121800,0.022300,2.245400,13.584100
598,0.135900,0.025100,2.463800,13.365200
599,0.127700,0.023900,2.436100,13.392400
600,0.126300,0.026700,2.364100,13.503800
601,0.095200,0.023700,2.457300,13.409300
602,0.137600,0.028600,2.417300,13.478000
603,0.118900,0.026500,2.435000,13.348300
604,0.116200,0.024100,2.373000,12.793100
605,0.090100,0.023100,2.540300,13.357100
606,0.117000,0.024700,2.541800,12.984500
607,0.116300,0.020300,2.315100,13.557000
608,0.127500,0.026100,2.336600,13.511200
609,0.094900,0.019900,2.229300,13.775100
610,0.136500,0.022400,2.272500,13.581600
611,0.117800,0.026300,2.446400,13.253300
612,0.100500,0.024200,2.344200,13.539600
613,0.120200,0.019400,2.247300,13.604300
614,0.106800,0.020000,2.231700,13.643900
615,0.087200,0.023300,2.364500,13.534300
616,0.152000,0.023400,2.302500,13.627800
617,0.106100,0.023900,2.358400,13.378400
618,0.107100,0.024700,2.445200,13.423000
619,0.144200,0.024800,2.408100,12.546600
620,0.179700,0.025400,2.698900,12.961100
621,0.097700,0.024800,2.506700,13.373500
622,0.127200,0.026200,2.484400,13.357700
623,0.110100,0.022100,2.282900,13.573800
624,0.124300,0.021100,2.267400,13.709000
625,0.105200,0.024800,2.325600,13.411100
626,0.124500,0.028500,2.387100,12.588300
627,0.124900,0.023900,2.308800,13.413400
628,0.130400,0.024800,2.464800,13.378000
629,0.110600,0.025600,2.458400,13.400100
630,0.104900,0.024100,2.526900,13.356400
